database_name	HMDB;LMSD
database_version	4.0;2020-09-08
91.026943025	C2H5NO3	HMDB:HMDB0143414
91.980624003	CH2NO2S	HMDB:HMDB0012916
92.002892489	C3H5ClO	HMDB:HMDB0034232	HMDB:HMDB0060456	HMDB:HMDB0060514
92.029585568	C3H8OS	HMDB:HMDB0030299	HMDB:HMDB0032425
92.047344122	C3H8O3	HMDB:HMDB0000131
92.062600256	C7H8	HMDB:HMDB0034168
92.903634644	Nb	HMDB:HMDB0061921
92.970690481	CH3NS2	HMDB:HMDB0061934
93.057849229	C6H7N	HMDB:HMDB0003012	HMDB:HMDB0061887	HMDB:HMDB0061888
93.941812743	CH3Br	HMDB:HMDB0031524
93.982157047	C2H3ClO2	HMDB:HMDB0031331	LMFA01090068
93.991091572	C2H6S2	HMDB:HMDB0005879	HMDB:HMDB0031707	HMDB:HMDB0032253	HMDB:HMDB0032428
94.008850126	C2H6O2S	HMDB:HMDB0004983
94.018542553	C3H7ClO	HMDB:HMDB0031335
94.041864814	C6H6O	HMDB:HMDB0000228
94.053098202	C5H6N2	HMDB:HMDB0033112
94.07825032	C7H10	HMDB:HMDB0031532	HMDB:HMDB0032395	HMDB:HMDB0061889
95.037113787	C5H5NO	HMDB:HMDB0013751	HMDB:HMDB0036057
95.073499293	C6H9N	HMDB:HMDB0032973
95.947821956	CH4Se	HMDB:HMDB0060488
95.987885149	H4O4Si	HMDB:HMDB0031436
95.988114684	CH4O3S	HMDB:HMDB0240280
96.021129372	C5H4O2	HMDB:HMDB0032914	HMDB:HMDB0060503
96.057514878	C6H8O	HMDB:HMDB0031545	HMDB:HMDB0031546	HMDB:HMDB0032965	HMDB:HMDB0033182	HMDB:HMDB0034729	HMDB:HMDB0040587	HMDB:HMDB0040588	LMFA06000006	LMFA06000007
96.983363657	H3NO3S	HMDB:HMDB0034830
97.052763851	C5H7NO	HMDB:HMDB0031339	HMDB:HMDB0032968	HMDB:HMDB0032969	HMDB:HMDB0032970
97.905407846	Mo	HMDB:HMDB0001302
97.967379242	H2O4S	HMDB:HMDB0001448
97.969005542	C2H4Cl2	HMDB:HMDB0029571
97.976895096	H3O4P	HMDB:HMDB0000973	HMDB:HMDB0001429	HMDB:HMDB0002105	HMDB:HMDB0002142
98.019020882	C5H6S	HMDB:HMDB0033118	HMDB:HMDB0033119
98.036779436	C5H6O2	HMDB:HMDB0013742	HMDB:HMDB0029609	HMDB:HMDB0040145	LMFA01030099	LMFA01031018
98.048012824	C4H6N2O	HMDB:HMDB0060768
98.073164942	C6H10O	HMDB:HMDB0003315	HMDB:HMDB0030332	HMDB:HMDB0031196	HMDB:HMDB0031496	HMDB:HMDB0031497	HMDB:HMDB0031498	HMDB:HMDB0031563	HMDB:HMDB0031564	HMDB:HMDB0033549	HMDB:HMDB0033714	HMDB:HMDB0035239	HMDB:HMDB0040264	HMDB:HMDB0040271	LMFA06000002	LMFA06000003	LMFA06000004	LMFA06000005	LMFA06000110	LMFA12000019	LMFA12000030	LMFA12000035
98.08439833	C5H10N2	HMDB:HMDB0037787
98.109550448	C7H14	LMFA11000319	LMFA11000660	LMFA11000663	LMFA11000668	HMDB:HMDB0061783	HMDB:HMDB0061892	HMDB:HMDB0061893	HMDB:HMDB0061894	HMDB:HMDB0061895
